Date,Open,High,Low,Close,Volume
02/10/2023,32101.97,32401.58,31759.88,31759.88,1048864500
03/10/2023,31607.97,31607.97,31157.4,31237.94,1096031800
04/10/2023,30765.03,30830.85,30487.67,30526.88,1371579800
05/10/2023,30733.65,31083.9,30565.32,31075.36,1141912200
06/10/2023,31003.95,31160.45,30928.16,30994.67,945586500
10/10/2023,31314.67,31818.26,31314.67,31746.53,1010284000
11/10/2023,31847.1,32037.07,31804.09,31936.51,895066900
12/10/2023,32120.94,32494.66,32120.94,32494.66,1005636500
13/10/2023,32328.39,32533.08,32249.03,32315.99,915446600
16/10/2023,31983.04,31999.79,31564.31,31659.03,845123400
17/10/2023,32063.79,32260.77,31901.39,32040.29,756178300
18/10/2023,32033.81,32101.47,31866.95,32042.25,832032700
19/10/2023,31579.54,31669.42,31399.17,31430.62,807307500
20/10/2023,31164.89,31428.97,31093.9,31259.36,845409700
23/10/2023,31151.98,31177.41,30974.26,30999.55,735271200
24/10/2023,31157.01,31210.26,30551.67,31062.35,979025100
25/10/2023,31302.51,31466.92,31195.58,31269.92,786639800
26/10/2023,30902.92,30943.33,30567.61,30601.78,855527600
27/10/2023,30713.79,31081.48,30687.33,30991.69,891074500
30/10/2023,30663.48,30762.5,30538.29,30696.96,1869959900
31/10/2023,30694.96,30973.66,30552.65,30858.85,1343477700
01/11/2023,31311.22,31601.65,31301.51,31601.65,1300571700
02/11/2023,31987.02,32087.13,31878.36,31949.89,1210666900
06/11/2023,32450.82,32766.54,32395.5,32708.48,1393639100
07/11/2023,32551.77,32591.11,32250.93,32271.82,1067055200
08/11/2023,32457.23,32512.17,32049.34,32166.48,1561834600
09/11/2023,32316.39,32723.71,32193.2,32646.46,1155451300
10/11/2023,32491.24,32598.93,32248.24,32568.11,1112712900
13/11/2023,32818.15,32913.31,32499.28,32585.11,905949800
14/11/2023,32760.51,32836.27,32667.4,32695.93,880914900
15/11/2023,33112.31,33556.52,33096.93,33519.7,1237757700
16/11/2023,33399.59,33614.13,33233.84,33424.41,941901900
17/11/2023,33344.85,33599.63,33263.67,33585.2,932137000
20/11/2023,33559.62,33853.46,33352.69,33388.03,948797800
21/11/2023,33453.15,33460.32,33254.73,33354.14,919152200
22/11/2023,33182.99,33593.5,33182.99,33451.83,756229000
24/11/2023,33752.05,33817.86,33622.57,33625.53,806945800
27/11/2023,33710.03,33811.41,33397.04,33447.67,827176600
28/11/2023,33520.39,33545.85,33298.04,33408.39,840971300
29/11/2023,33244.43,33516.23,33179.07,33321.22,892289900
30/11/2023,33260.14,33486.89,33161.07,33486.89,1521572000
01/12/2023,33537.44,33551.57,33397.42,33431.51,875985100
04/12/2023,33318.07,33324.38,33023.04,33231.27,873018900
05/12/2023,33022.38,33089.82,32726.68,32775.82,860877700
06/12/2023,32928.92,33452.13,32914.09,33445.9,912044100
07/12/2023,33165.72,33195.87,32814.69,32858.31,1051260100
08/12/2023,32600.47,32604.35,32205.38,32307.86,1441590000
11/12/2023,32665.09,32933.08,32650.1,32791.8,1057756000
12/12/2023,33107.65,33172.13,32800.24,32843.7,980674200
13/12/2023,32973.47,33104.47,32864.38,32926.35,999523300
14/12/2023,33032.3,33120.55,32515.04,32686.25,1333509700
15/12/2023,32760.56,33122.33,32732.66,32970.55,1410976700
18/12/2023,32769.23,32790.58,32541.23,32758.98,1068776800
19/12/2023,32774.21,33219.39,32654.43,33219.39,1063089500
20/12/2023,33467.32,33824.06,33467.32,33675.94,1179504200
21/12/2023,33276.81,33337.84,33097.79,33140.47,955774300
22/12/2023,33257.95,33375.19,33151.7,33169.05,894128200
25/12/2023,33414.51,33414.51,33221.57,33254.03,589428900
26/12/2023,33295.68,33312.26,33181.36,33305.85,682656200
27/12/2023,33532.97,33755.75,33521.52,33681.24,936832600
28/12/2023,33477.47,33571.73,33411.24,33539.62,733097700
29/12/2023,33458.64,33652.71,33305.17,33464.17,890361000
04/01/2024,33193.05,33299.39,32693.18,33288.29,1172838900
05/01/2024,33397.52,33568.04,33257.43,33377.42,1153316400
09/01/2024,33704.83,33990.28,33600.32,33763.18,1120661200
10/01/2024,33896.33,34539.02,33885.74,34441.72,1059849400
11/01/2024,34871.33,35157.56,34849.57,35049.86,1300586200
12/01/2024,35601.65,35839.65,35362.24,35577.11,1292269800
15/01/2024,35634.12,36008.23,35544.32,35901.79,1056762100
16/01/2024,35909.2,35955.68,35587.53,35619.18,1034464700
17/01/2024,35850.18,36239.22,35476.52,35477.75,1395160800
18/01/2024,35371.25,35728.09,35371.25,35466.17,1002855400
19/01/2024,35913.72,36076.23,35790.07,35963.27,1041182700
22/01/2024,36294.1,36571.8,36225.91,36546.95,1000024300
23/01/2024,36605.3,36984.51,36436.07,36517.57,1114940200
24/01/2024,36415.66,36471.39,36104.89,36226.48,1086274000
25/01/2024,36213.14,36312.36,35912.54,36236.47,945903600
26/01/2024,36003,36060.4,35687.58,35751.07,1096375500
29/01/2024,35814.29,36186.87,35813.77,36026.94,955087900
30/01/2024,36196.64,36249.03,36039.31,36065.86,878993700
31/01/2024,35759.55,36292.53,35704.58,36286.71,1110953100
01/02/2024,36008.56,36146.36,35924.6,36011.46,1181349500
02/02/2024,36249.99,36441.09,36083.61,36158.02,1148216200
05/02/2024,36419.34,36452.62,36213,36354.16,1305294300
06/02/2024,36249.08,36294.48,36065.98,36160.66,1346890000
07/02/2024,36002.99,36195.5,35854.63,36119.92,1265212600
08/02/2024,36258.84,36956.97,36206.2,36863.28,1509862600
09/02/2024,36915.44,37287.26,36807.03,36897.42,1467661200
13/02/2024,37248.36,38010.69,37184.1,37963.97,1405041400
14/02/2024,37712.87,37825.85,37594.47,37703.32,1202744700
15/02/2024,38017.83,38188.74,37935.36,38157.94,1299949600
16/02/2024,38517.37,38865.06,38361.55,38487.24,1517174400
19/02/2024,38473.41,38555.84,38281.7,38470.38,1020209500
20/02/2024,38510.37,38742.33,38288.04,38363.61,1084835500
21/02/2024,38191.97,38339.7,38095.15,38262.16,1047198500
22/02/2024,38508.07,39156.97,38508.07,39098.68,1229256700
26/02/2024,39320.64,39388.08,39181.03,39233.71,1256927200
27/02/2024,39260.78,39426.29,39113.03,39239.52,1190951500
28/02/2024,39189.22,39283.95,39075.47,39208.03,1199285300
29/02/2024,38935.53,39250.12,38876.81,39166.19,1659909100
01/03/2024,39254.69,39990.23,39224.64,39910.82,1227737800
04/03/2024,40201.76,40314.64,40001.55,40109.23,1194477600
05/03/2024,39881.73,40226.99,39840.34,40097.63,1152271800
06/03/2024,39792.37,40147.77,39769.04,40090.78,1129197400
07/03/2024,40331.06,40472.11,39518.4,39598.71,1371719700
08/03/2024,39809.56,39989.33,39551.6,39688.94,1433393400
11/03/2024,39232.14,39241.28,38496.66,38820.49,1329198100
12/03/2024,38470.39,38841.8,38271.38,38797.51,1129334400
13/03/2024,39059.95,39147.8,38452.57,38695.97,1053540900
14/03/2024,38591.73,38840.33,38400.17,38807.38,1110684100
15/03/2024,38548.16,38808.68,38519.94,38707.64,1670979600
18/03/2024,38960.99,39769.11,38935.47,39740.44,1287378600
19/03/2024,39622.58,40003.6,39407.5,40003.6,1346938500
21/03/2024,40511.55,40823.32,40452.19,40815.66,1571822800
22/03/2024,40942.88,41087.75,40714.14,40888.43,1360973800
25/03/2024,40798.96,40837.18,40414.12,40414.12,1014820700
26/03/2024,40345.04,40529.53,40280.85,40398.03,1013657500
27/03/2024,40517.17,40979.36,40452.21,40762.73,1213124100
28/03/2024,40324.42,40482.02,40054.06,40168.07,1356287300
29/03/2024,40277.45,40521.71,40268.11,40369.44,1219796000
01/04/2024,40646.7,40697.22,39706.45,39803.09,1345112200
02/04/2024,39892.59,40151.05,39707.87,39838.91,1157958300
03/04/2024,39503.72,39625.9,39217.04,39451.85,1231752000
04/04/2024,39928.33,40243.02,39773.14,39773.14,1451455000
05/04/2024,39237.39,39274.76,38774.24,38992.08,1295623800
08/04/2024,39391.98,39617.36,39197,39347.04,1083013500
09/04/2024,39496.95,39773.13,39476.13,39773.13,1059208200
10/04/2024,39582.33,39708.7,39510.48,39581.81,974157800
11/04/2024,39090.68,39473.48,39065.31,39442.63,1070020200
12/04/2024,39722.02,39774.82,39457.73,39523.55,1071271100
15/04/2024,39056.93,39232.8,38820.95,39232.8,1070153000
16/04/2024,38750.67,38764.82,38322.32,38471.2,1329565400
17/04/2024,38587.47,38587.61,37961.8,37961.8,1206440600
18/04/2024,37745.04,38216.75,37644.91,38079.7,1058032400
19/04/2024,37724.47,37749.48,36733.06,37068.35,1553636400
22/04/2024,37240.93,37511.8,37052.63,37438.61,1193656700
23/04/2024,37797.06,37817.78,37397.27,37552.16,959271200
24/04/2024,37871.92,38460.08,37857.47,38460.08,1211315900
25/04/2024,38065.91,38129.53,37604.23,37628.48,1138524100
26/04/2024,37725.61,38097.54,37550.7,37934.76,1248545400
30/04/2024,38312.66,38608.17,38182.11,38405.66,1514280900
01/05/2024,38107.38,38433.34,38036.24,38274.05,1085436900
02/05/2024,38004.01,38355.6,37958.19,38236.07,1019285200
07/05/2024,38636.23,38863.14,38541.97,38835.1,1152396100
08/05/2024,38677.57,38749.35,38159.85,38202.37,1201061600
09/05/2024,38242.92,38429.81,38072.24,38073.98,1185501100
10/05/2024,38361.79,38741.88,38126.91,38229.11,1673429800
13/05/2024,38211.61,38273.4,37969.58,38179.46,1287349900
14/05/2024,38287.99,38477.68,38084.71,38356.06,1432629000
15/05/2024,38533.09,38816.6,38335.61,38385.73,1462732900
16/05/2024,38645.96,38949.38,38513.33,38920.26,1579437500
17/05/2024,38561.04,38842.49,38539.56,38787.38,1333356900
20/05/2024,38761.71,39437.16,38703.7,39069.68,1274428900
21/05/2024,39232.16,39346.15,38942.28,38946.93,1067198900
22/05/2024,38823.91,38854.99,38592.94,38617.1,1055204000
23/05/2024,38803.13,39129.47,38617.43,39103.22,1077552000
24/05/2024,38506.03,38740.82,38367.7,38646.11,963057200
27/05/2024,38766.21,38900.02,38667.93,38900.02,942391400
28/05/2024,38879.15,38981.97,38756.13,38855.37,1012076300
29/05/2024,38880.5,39141.99,38524.24,38556.87,1239158100
30/05/2024,38112.77,38138.03,37617,38054.13,1173391500
31/05/2024,38173.22,38526.93,38087.61,38487.9,2110106500
03/06/2024,38734.95,39032.5,38734.95,38923.03,1158550100
04/06/2024,38702.54,38895.06,38591.79,38837.46,1178686600
05/06/2024,38654.09,38656.41,38343.98,38490.17,1193704000
06/06/2024,38841.66,39011.93,38693.5,38703.51,1189157000
07/06/2024,38597.55,38747.27,38560.85,38683.93,962356200
10/06/2024,38689.78,39081.54,38689.78,39038.16,892254800
11/06/2024,39175.59,39336.66,39074.88,39134.79,933293200
12/06/2024,38865.15,38945.99,38809.36,38876.71,1081606600
13/06/2024,39182.06,39252.44,38689.79,38720.47,1159251000
14/06/2024,38587.57,39025.7,38554.75,38814.56,1571162900
17/06/2024,38440.98,38442.7,37950.2,38102.44,1074894800
18/06/2024,38433.48,38519.02,38332.89,38482.11,970822900
19/06/2024,38653.91,38797.97,38453.41,38570.76,936081600
20/06/2024,38410.32,38637.62,38263.08,38633.02,880451900
